"","",
"85 ","Electrical machinery and equipment and parts thereof; Sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles ",
"86 ","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; Mechanical (including electromechanical) traffic signaling equipment of all kinds ",
"87 ","Vehicles, other than railway or tramway rolling stock, and parts and accessories thereof ",
"88 ","Aircraft, spacecraft, and parts thereof ",
"89 ","Ships, boats, and floating structures ",
"90 ","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; Parts and accessories thereof ",
"91 ","Clocks and watches and parts thereof ",
"92 ","Musical instruments; Parts and accessories of such articles ",
"93 ","Arms and ammunition; Parts and accessories thereof ",
"94 ","Furniture; Bedding, mattress supports, cushions and similar stuffed furnishings; Lamps and lighting fittings, not elsewhere specified or included; Illuminated signs, illuminated nameplates and the like; Prefabricated buildings ",
"95 ","Toys, games and sports equipment; Parts and accessories thereof ",
"96 ","Miscellaneous manufactured articles ",
"97 ","Works of art, collectors' pieces and antiques ",
"98 ","Special classification provisions ",
"99 ","(Imports only) Temporary legislation; Temporary modifications established pursuant to trade legislation; Additional import restrictions established pursuant to Section 22 of the Agricultural Adjustment Act, as needed ",
