"08 ","Edible fruit and nuts; Peel of citrus fruit or melons ",
"09 ","Coffee, tea, mate and spices ",
"10 ","Cereals ",
"11 ","Products of the milling industry; Malt; Starches; inulin; Wheat gluten ",
"12 ","Oil seeds and oleaginous fruits; Miscellaneous grains; Seeds and fruit; Industrial or medicinal plants; Straw and fodder ",
"13 ","Lac; Gums; Resins and other vegetable saps and extract ",
"14 ","Vegetable plaiting materials; Vegetable products not elsewhere specified or included ",
"15 ","Animal or vegetable fats and oils and their cleavage products; Prepared edible fats; Animal or vegetable waxes ",
"16 ","Preparations of meat, of fish, or of crustaceans, mollusks or other aquatic invertebrates ",
"17 ","Sugars and sugar confectionery ",
"18 ","Cocoa and cocoa preparations ",
"19 ","Preparations of cereals, flour, starch or milk; Bakers' wares ",
"20 ","Preparations of vegetables, fruit, nuts, or other parts of plants ",
"21 ","Miscellaneous edible preparations ",
"22 ","Beverages, spirits and vinegar ",
"23 ","Residues and waste from the food industries; Prepared animal feed ",
"24 ","Tobacco and manufactured tobacco substitutes ",
"25 ","Salt; Sulfur; Earths and stone; Plastering materials, lime and cement ",
"26 ","Ores, slag and ash ",
"27 ","Mineral fuels, mineral oils and products of their distillation; Bituminous substances; Mineral waxes ",
"28 ","Inorganic chemicals; Organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes ",
"29 ","Organic chemicals ",
"30 ","Pharmaceutical products ",
"31 ","Fertilizers ",
"32 ","Tanning or dyeing extracts; Tannins and their derivatives; Dyes, pigments and other coloring matter; Paints and varnishes; Putty and other mastics; Inks ",
"33 ","Essential oils and resinoids; Perfumery, cosmetic or toilet preparations ",
