"34 ","Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modeling pastes, dental waxes and dental preparations with a basis of plaster ",
"35 ","Albuminoidal substances; Modified starches; Glues; Enzymes ",
"36 ","Explosives; Pyrotechnic products; Matches; Pyrophoric alloys; Certain combustible preparations ",
"37 ","Photographic or cinematographic goods ",
"38 ","Miscellaneous chemical products ",
"39 ","Plastics and articles thereof ",
"40 ","Rubber and articles thereof ",
"41 ","Raw hides and skins (other than furskins) and leather ",
"42 ","Articles of leather; Saddlery and harness; Travel goods, handbags and similar containers; Articles of animal gut (other than silkworm gut) ",
"43 ","Furskins and artificial fur; Manufactures thereof ",
"44 ","Wood and articles of wood; Wood charcoal ",
"45 ","Cork and articles of cork ",
"46 ","Manufactures of straw, of esparto or of other plaiting materials; Basketware and wickerwork ",
"47 ","Pulp of wood or of other fibrous cellulosic material; Waste and scrap of paper or paperboard ",
"48 ","Paper and paperboard; Articles of paper pulp, of paper or of paperboard ",
"49 ","Printed books, newspapers, pictures and other products of the printing industry; Manuscripts, typescripts and plans ",
"50 ","Silk ",
"51 ","Wool, fine or coarse animal hair; Horsehair yarn and woven fabric ",
"52 ","Cotton ",
"53 ","Other vegetable textile fibers; Paper yarn and woven fabrics of paper yarn ",
"54 ","Man-made filaments ",
"55 ","Man-made staple fibers ",
"56 ","Wadding, felt and nonwovens; Special yarns; Twine, cordage, ropes and cables and articles thereof ",
"57 ","Carpets and other textile floor coverings ",
"58 ","Special woven fabrics; Tuffed textile fabrics; Lace; Tapestries; Trimmings; Embroidery ",
