"","",
"59 ","Impregnated, coated, covered or laminated textile fabrics; Textile articles of a kind suitable for industrial use ",
"60 ","Knitted or crocheted fabrics ",
"61 ","Articles of apparel and clothing accessories, knitted or crocheted ",
"62 ","Articles of apparel and clothing accessories, not knitted or crocheted ",
"63 ","Other made-up textile articles; Needle craft sets; Worn clothing and worn textile articles; rags ",
"64 ","Footwear, gaiters and the like; Parts of such articles ",
"65 ","Headgear and parts thereof ",
"66 ","Umbrellas, sun umbrellas, walking sticks, seatsticks, whips, riding crops and parts thereof ",
"67 ","Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair ",
"68 ","Articles of stone, plaster, cement, asbestos, mica or similar materials ",
"69 ","Ceramic products ",
"70 ","Glass and glassware ",
"71 ","Natural or cultured pearls, precious or semiprecious stones, precious metals; metals clad with precious metal, and articles thereof; limitation jewelry; coin ",
"72 ","Iron and steel ",
"73 ","Articles of iron or steel ",
"74 ","Copper and articles thereof ",
"75 ","Nickel and articles thereof ",
"76 ","Aluminum and articles thereof ",
"77 ","Reserved for possible future use ",
"78 ","Lead and articles thereof ",
"79 ","Zinc and articles thereof ",
"80 ","Tin and articles thereof ",
"81 ","Other base metals; Cermets; Articles thereof ",
"82 ","Tools, implements, cutlery, spoons and forks, of base metal; Parts thereof of base metal ",
"83 ","Miscellaneous articles of base metal ",
"84 ","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof ",
